"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876
"RiverCess",-1.07736765225,1,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225
"RiverGee",-1.12609377668,-1.27163758864,1,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668
"Sinoe",0.080624097933,-0.235451190017,-1.37133590421,1,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864
"Bomi",-0.527918369829,-0.468923829051,-1.18044762867,-0.897642311997,1,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933
"Bong",-0.515252482452,0.681570805408,0.110028045372,1.93986388587,-0.271876492392,1,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017
"Gbarpolu",-0.16279121347,0.255767572166,3.4660664504,-0.467742604161,-1.00132164164,-1.0534382496,1,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421
"GrandCapeMount",-0.157159242509,-0.733571678695,-0.534189060853,-1.17909990583,-0.637813371593,0.4199440749,0.250886951429,1,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829
"GrandBassa",0.469444942874,-0.000655139785474,-0.363132545245,-0.621594085655,-0.603632853826,0.0709796093943,0.0753410204181,-0.906155937946,1,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051
"GrandGedeh",0.941319502836,-0.0902850436409,0.115501862819,0.439743334456,0.451785012705,0.502050405007,0.430306720772,0.0915968568062,0.00620492116994,1,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867
