"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,0.61906736368,0.394475782796,1.11844495495,1.4409583074,-0.383884699358,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"RiverCess",-0.54584688207,1,0.394475782796,1.11844495495,1.4409583074,-0.383884699358,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"RiverGee",-0.54584688207,-0.54584688207,1,1.11844495495,1.4409583074,-0.383884699358,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"Sinoe",-0.54584688207,-0.54584688207,-0.54584688207,1,1.4409583074,-0.383884699358,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"Bomi",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,-0.383884699358,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"Bong",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,0.13793600155,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"Gbarpolu",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,1.082202463,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"GrandCapeMount",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,0.453172178823,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"GrandBassa",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,-0.376701896668,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
"GrandGedeh",-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,-0.54584688207,1,1.08492034796,0.0562931472053,0.613316985156,0.649650397076,1.23559671473,0.782638776513,0.00584454559346,0.408766714064,1.45430235466,-1.73468155127,-2.06388727271,-1.41018435861,-0.557428029429,-1.43231800612,-0.758982236171,-1.67901867142,-2.26835714455,1.05606699317,0.757567340021,0.874214496547,-0.192000304884,-0.179795527541,-1.89447232537,-1.74667945518,-1.12514668943,-0.726037860141,-1.31859875574,-0.0246413098863,-1.0543224577,-0.0368061209879,-0.693680379694,-0.500395219589,0.19647496827,0.370363542231,0.0965921429767,0.226761613085,0.573230066672,-0.442631056577,0.523898712861,0.575035808378,0.451150580109,1.18789948366,0.624217560338,1.13374368605,1.41027811938,1.55141606222
